Latitude,Longitude
51.2464304454625,22.515328573063
51.2462748773396,22.514956584200302
51.2462191376835,22.514825239777604
51.2461534235626,22.5147031154484
51.2460242584348,22.514371778816
51.245728796348,22.5136736501008
51.2456412892789,22.5134991388768
51.2453868985176,22.5129414070398
51.2446895241737,22.511397879570698
51.243661148473606,22.505949977785303
51.2436283752322,22.505307001993103
51.243125544861,22.50447710976
51.2430556397885,22.504407372325698
51.240490190684795,22.4958909396082
51.240456411615,22.495776526629896
51.239968584850395,22.4941874016076
